user_id,age,sex,weight_kg,height_cm,bmi,activity_level,bmr_kcal,tdee_kcal,diet_type,region,health_condition,food_allergy,vegetable_preference,budget_tier
USR0225,40,Female,57.6,147.6,26.4,Sedentary,1138,1366,Vegan,Terai,Lactose Intolerance,None,Likes all,2
USR0226,61,Male,67.6,150.6,29.8,Sedentary,1317,1580,Non-Vegetarian,Hills,None,Milk,Prefers cooked,2
USR0227,59,Male,63.0,162.0,24.0,Heavy,1352,2332,Vegan,Hills,Underweight,Fish,Likes all,2
USR0228,18,Male,63.7,153.4,27.1,Moderate,1511,2342,Non-Vegetarian,Mountain,None,Fish,No bitter,2
USR0229,6,Male,67.8,168.3,23.9,Moderate,1705,2643,Non-Vegetarian,Hills,Anaemia,Gluten,Prefers cooked,2
USR0230,66,Male,70.2,170.1,24.3,Sedentary,1440,1728,Vegetarian,Terai,Hypertension,Milk,No bitter,2
USR0231,71,Male,50.7,166.0,18.4,Heavy,1194,2060,Non-Vegetarian,Hills,None,Milk,Likes all,1
USR0232,48,Male,53.0,155.4,21.9,Moderate,1266,1962,Non-Vegetarian,Mountain,None,None,No bitter,3
USR0233,64,Female,55.0,161.1,21.2,Moderate,1076,1668,Non-Vegetarian,Hills,Anaemia,None,Prefers cooked,2
USR0234,54,Female,60.3,154.1,25.4,Moderate,1135,1759,Vegetarian,Mountain,None,None,No bitter,2
USR0235,63,Male,73.2,172.8,24.5,Heavy,1502,2591,Vegan,Hills,Lactose Intolerance,Fish,No leafy,3
USR0236,49,Male,55.4,172.1,18.7,Moderate,1390,2154,Non-Vegetarian,Mountain,Lactose Intolerance,None,Prefers cooked,2
USR0237,35,Male,59.8,169.8,20.7,Moderate,1489,2308,Vegan,Hills,Anaemia,None,No leafy,2
USR0238,67,Male,51.9,155.7,21.4,Moderate,1162,1801,Vegan,Terai,Obesity,Milk,Prefers cooked,1
USR0239,62,Female,40.8,144.4,19.6,Sedentary,840,1008,Non-Vegetarian,Terai,None,Fish,No leafy,2
USR0240,58,Female,51.6,146.7,24.0,Moderate,982,1522,Vegetarian,Mountain,None,None,No bitter,1
USR0241,33,Female,48.7,153.0,20.8,Heavy,1117,1927,Vegan,Hills,Underweight,None,Likes all,2
USR0242,74,Female,55.2,152.2,23.8,Heavy,972,1677,Vegan,Terai,Anaemia,None,Prefers cooked,2
USR0243,62,Male,60.4,180.9,18.5,Sedentary,1430,1716,Non-Vegetarian,Terai,None,None,No bitter,3
USR0244,26,Female,42.2,145.8,19.9,Moderate,1042,1615,Vegetarian,Mountain,Hypertension,Milk,Prefers cooked,2
USR0245,42,Female,34.1,146.4,15.9,Sedentary,885,1062,Non-Vegetarian,Hills,None,Milk,Prefers cooked,1
USR0246,23,Male,57.5,150.4,25.4,Heavy,1405,2424,Non-Vegetarian,Terai,Lactose Intolerance,Milk,No leafy,2
USR0247,14,Female,41.6,143.3,20.3,Sedentary,1081,1297,Non-Vegetarian,Mountain,Diabetes,Nuts,No leafy,2
USR0248,5,Female,65.9,144.0,31.8,Sedentary,1373,1648,Non-Vegetarian,Hills,None,Fish,Prefers cooked,2
USR0249,68,Male,59.8,179.9,18.5,Moderate,1387,2150,Vegan,Mountain,None,Gluten,No bitter,1
USR0250,17,Male,48.6,154.2,20.4,Sedentary,1370,1644,Vegetarian,Terai,Obesity,Gluten,Likes all,2
USR0251,21,Male,68.3,160.4,26.5,Moderate,1586,2458,Vegetarian,Hills,Diabetes,None,No bitter,1
USR0252,55,Male,50.7,155.9,20.9,Moderate,1211,1877,Non-Vegetarian,Terai,None,None,Prefers cooked,2
USR0253,21,Male,51.9,159.6,20.4,Heavy,1416,2443,Vegetarian,Terai,Hypertension,None,No leafy,1
USR0254,14,Female,54.5,157.0,22.1,Sedentary,1295,1554,Vegetarian,Hills,Hypertension,Milk,Prefers cooked,2
USR0255,23,Male,73.7,169.3,25.7,Moderate,1685,2612,Non-Vegetarian,Hills,None,None,No leafy,3
USR0256,32,Female,57.5,155.7,23.7,Sedentary,1227,1472,Vegan,Hills,Hypertension,Fish,No bitter,1
USR0257,40,Male,57.4,160.2,22.4,Moderate,1380,2139,Vegetarian,Hills,None,None,No leafy,2
USR0258,35,Male,57.1,165.1,20.9,Heavy,1433,2472,Vegan,Terai,Underweight,None,No bitter,2
USR0259,54,Male,70.3,157.0,28.5,Moderate,1419,2199,Vegan,Terai,Obesity,None,Likes all,3
USR0260,6,Male,61.8,167.3,22.1,Sedentary,1639,1967,Non-Vegetarian,Mountain,Diabetes,Fish,No leafy,2
USR0261,73,Male,56.4,163.9,21.0,Sedentary,1228,1474,Non-Vegetarian,Terai,Underweight,None,Prefers cooked,3
USR0262,55,Female,40.9,147.9,18.7,Sedentary,897,1076,Non-Vegetarian,Hills,None,None,Prefers cooked,1
USR0263,19,Female,42.2,156.8,17.2,Moderate,1146,1776,Non-Vegetarian,Terai,None,None,Likes all,1
USR0264,49,Female,38.4,152.2,16.6,Moderate,929,1440,Non-Vegetarian,Hills,None,Milk,Likes all,1
USR0265,59,Female,53.5,156.5,21.8,Sedentary,1057,1268,Non-Vegetarian,Hills,Underweight,Nuts,Likes all,2
USR0266,52,Male,71.5,176.5,23.0,Sedentary,1563,1876,Non-Vegetarian,Mountain,None,None,Likes all,1
USR0267,65,Male,47.2,178.6,14.8,Moderate,1268,1965,Vegetarian,Mountain,Celiac,Fish,Prefers cooked,2
USR0268,58,Male,69.6,161.5,26.7,Sedentary,1420,1704,Vegan,Hills,None,None,Prefers cooked,1
USR0269,56,Male,72.2,168.8,25.3,Moderate,1502,2328,Non-Vegetarian,Hills,None,Gluten,Likes all,2
USR0270,42,Male,54.2,162.3,20.6,Moderate,1351,2094,Non-Vegetarian,Hills,Lactose Intolerance,Gluten,Prefers cooked,3
USR0271,24,Male,72.3,165.3,26.5,Moderate,1641,2544,Vegan,Hills,Celiac,None,No bitter,1
USR0272,44,Female,62.8,159.2,24.8,Moderate,1242,1925,Non-Vegetarian,Hills,None,None,No bitter,1
USR0273,34,Male,71.7,159.2,28.3,Moderate,1547,2398,Non-Vegetarian,Terai,Lactose Intolerance,None,Prefers cooked,2
USR0274,12,Male,38.3,173.2,12.8,Moderate,1410,2186,Non-Vegetarian,Hills,Hypertension,Fish,No bitter,2
USR0275,39,Female,56.2,170.7,19.3,Moderate,1273,1973,Vegan,Terai,None,None,Prefers cooked,2
USR0276,45,Female,44.7,158.8,17.7,Moderate,1054,1634,Non-Vegetarian,Hills,Obesity,Milk,Likes all,1
USR0277,43,Male,69.1,154.0,29.1,Sedentary,1444,1733,Non-Vegetarian,Hills,None,None,Prefers cooked,2
USR0278,70,Female,61.2,155.8,25.2,Moderate,1075,1666,Vegetarian,Hills,Obesity,None,Likes all,2
USR0279,22,Male,64.6,167.0,23.2,Moderate,1585,2457,Non-Vegetarian,Terai,Anaemia,Nuts,Likes all,3
USR0280,14,Female,57.3,154.3,24.1,Heavy,1306,2253,Non-Vegetarian,Terai,Hypertension,None,Likes all,2
USR0281,26,Male,71.5,161.1,27.5,Heavy,1597,2755,Non-Vegetarian,Terai,Anaemia,Fish,Prefers cooked,2
USR0282,28,Male,60.3,173.6,20.0,Moderate,1553,2407,Vegetarian,Mountain,Lactose Intolerance,None,No bitter,2
USR0283,75,Female,50.2,154.4,21.1,Heavy,931,1606,Non-Vegetarian,Hills,None,None,Likes all,2
USR0284,66,Female,44.0,151.8,19.1,Moderate,898,1392,Non-Vegetarian,Hills,None,None,No bitter,3
USR0285,8,Male,75.8,156.5,30.9,Sedentary,1701,2041,Non-Vegetarian,Mountain,Hypertension,None,Prefers cooked,1
USR0286,35,Male,60.1,179.6,18.6,Sedentary,1554,1865,Non-Vegetarian,Mountain,Anaemia,Nuts,Prefers cooked,1
USR0287,45,Male,67.3,153.4,28.6,Sedentary,1412,1694,Non-Vegetarian,Mountain,Lactose Intolerance,None,Prefers cooked,2
USR0288,27,Female,50.1,154.2,21.1,Moderate,1169,1812,Vegan,Terai,None,Gluten,Likes all,2
USR0289,21,Male,58.6,169.2,20.5,Moderate,1544,2393,Vegetarian,Terai,None,None,Likes all,3
USR0290,14,Female,39.0,165.9,14.2,Heavy,1196,2063,Vegan,Terai,Hypertension,Milk,No bitter,1
USR0291,60,Male,68.6,145.3,32.5,Moderate,1299,2013,Non-Vegetarian,Mountain,Lactose Intolerance,Nuts,Prefers cooked,3
USR0292,53,Male,56.7,176.4,18.2,Moderate,1410,2186,Non-Vegetarian,Terai,Lactose Intolerance,Fish,Likes all,1
USR0293,33,Female,51.3,151.5,22.4,Heavy,1134,1956,Non-Vegetarian,Hills,None,None,No bitter,2
USR0294,16,Male,68.5,154.3,28.8,Moderate,1574,2440,Non-Vegetarian,Terai,Diabetes,None,Prefers cooked,1
USR0295,37,Female,57.3,143.1,28.0,Sedentary,1121,1345,Non-Vegetarian,Hills,Anaemia,None,No leafy,2
USR0296,49,Female,50.0,153.1,21.3,Heavy,1051,1813,Vegan,Terai,None,Gluten,Likes all,1
USR0297,7,Female,44.7,169.6,15.5,Sedentary,1311,1573,Non-Vegetarian,Terai,Anaemia,None,Likes all,3
USR0298,48,Male,50.5,158.9,20.0,Heavy,1263,2179,Vegetarian,Hills,Celiac,None,No leafy,1
USR0299,17,Male,48.8,183.9,14.4,Heavy,1557,2686,Vegan,Mountain,Diabetes,Milk,No bitter,1
USR0300,11,Male,52.1,171.3,17.8,Heavy,1542,2660,Non-Vegetarian,Terai,Hypertension,None,No leafy,1
USR0301,66,Female,54.6,155.5,22.6,Moderate,1027,1592,Non-Vegetarian,Terai,Obesity,None,No bitter,2
USR0302,67,Female,59.6,150.6,26.3,Heavy,1041,1796,Non-Vegetarian,Hills,Anaemia,Nuts,Prefers cooked,2
USR0303,38,Male,54.7,167.3,19.5,Moderate,1408,2182,Vegan,Terai,None,None,Likes all,2
USR0304,34,Female,37.7,149.6,16.8,Heavy,981,1692,Vegan,Hills,Lactose Intolerance,None,No leafy,2
USR0305,55,Male,75.0,157.7,30.2,Moderate,1466,2272,Vegetarian,Hills,None,None,Prefers cooked,1
USR0306,10,Male,35.6,176.0,11.5,Heavy,1411,2434,Non-Vegetarian,Terai,Lactose Intolerance,Milk,No bitter,1
USR0307,54,Male,50.1,161.5,19.2,Moderate,1245,1930,Vegan,Hills,None,Fish,Likes all,2
USR0308,23,Male,49.9,160.7,19.3,Sedentary,1393,1672,Vegetarian,Mountain,None,Milk,No bitter,2
USR0309,54,Female,47.4,146.5,22.1,Heavy,959,1654,Vegetarian,Terai,Diabetes,Fish,Prefers cooked,3
USR0310,9,Female,39.3,162.8,14.8,Moderate,1204,1866,Vegetarian,Hills,Diabetes,Nuts,Likes all,2
USR0311,44,Female,52.0,162.0,19.8,Sedentary,1152,1382,Non-Vegetarian,Terai,Diabetes,Gluten,No bitter,2
USR0312,16,Female,56.4,158.5,22.5,Heavy,1314,2267,Non-Vegetarian,Mountain,Hypertension,None,Prefers cooked,1
USR0313,69,Female,41.1,161.0,15.9,Sedentary,911,1093,Non-Vegetarian,Terai,None,None,Prefers cooked,1
USR0314,11,Female,66.2,148.6,30.0,Moderate,1375,2131,Non-Vegetarian,Hills,Underweight,Fish,Likes all,1
USR0315,52,Male,51.2,165.6,18.7,Heavy,1292,2229,Vegan,Mountain,Hypertension,Nuts,Prefers cooked,2
USR0316,41,Male,65.1,165.4,23.8,Moderate,1485,2302,Non-Vegetarian,Terai,Celiac,None,No bitter,2
USR0317,6,Male,56.7,165.7,20.7,Moderate,1578,2446,Vegan,Terai,None,Milk,No bitter,2
USR0318,53,Female,59.9,147.8,27.4,Moderate,1097,1700,Non-Vegetarian,Hills,Celiac,Fish,Likes all,1
USR0319,41,Female,52.7,157.2,21.3,Sedentary,1144,1373,Non-Vegetarian,Hills,Celiac,Nuts,No bitter,2
USR0320,29,Female,63.0,163.6,23.5,Sedentary,1346,1615,Vegan,Hills,Celiac,Nuts,Prefers cooked,1
USR0321,42,Female,53.4,161.3,20.5,Heavy,1171,2020,Vegetarian,Mountain,Lactose Intolerance,None,No bitter,1
USR0322,50,Female,36.6,153.4,15.6,Moderate,914,1417,Non-Vegetarian,Terai,Obesity,None,No bitter,3
USR0323,47,Male,58.0,160.3,22.6,Moderate,1352,2096,Non-Vegetarian,Hills,Hypertension,Nuts,No bitter,3
USR0324,64,Female,60.0,147.6,27.5,Sedentary,1042,1250,Non-Vegetarian,Terai,Underweight,None,No leafy,3
USR0325,57,Female,70.7,158.6,28.1,Moderate,1252,1941,Non-Vegetarian,Hills,Anaemia,Gluten,Prefers cooked,2
USR0326,15,Male,47.9,165.9,17.4,Moderate,1446,2241,Non-Vegetarian,Terai,None,Gluten,No bitter,1
USR0327,25,Male,45.1,165.9,16.4,Sedentary,1368,1642,Non-Vegetarian,Mountain,Anaemia,Fish,No leafy,2
USR0328,54,Female,65.1,154.3,27.3,Moderate,1184,1835,Vegetarian,Hills,Underweight,None,Likes all,1
USR0329,33,Male,58.8,158.1,23.5,Moderate,1416,2195,Vegetarian,Hills,Underweight,Milk,Prefers cooked,1
USR0330,43,Male,72.5,162.2,27.6,Moderate,1529,2370,Non-Vegetarian,Terai,Hypertension,Gluten,No bitter,1
USR0331,56,Male,69.1,165.7,25.2,Moderate,1452,2251,Non-Vegetarian,Terai,Lactose Intolerance,None,Likes all,2
USR0332,53,Male,67.5,160.7,26.1,Sedentary,1419,1703,Vegan,Terai,Celiac,None,Likes all,1
USR0333,58,Male,57.2,166.4,20.7,Moderate,1327,2057,Non-Vegetarian,Terai,None,None,No bitter,2
USR0334,71,Male,60.3,175.8,19.5,Moderate,1352,2096,Non-Vegetarian,Terai,Underweight,None,No bitter,1
USR0335,68,Male,64.1,170.1,22.2,Moderate,1369,2122,Vegan,Terai,Hypertension,Fish,No bitter,1
USR0336,75,Male,55.2,165.1,20.3,Heavy,1214,2094,Non-Vegetarian,Terai,None,None,Likes all,1
USR0337,24,Female,68.9,150.2,30.5,Sedentary,1347,1616,Vegetarian,Hills,Celiac,None,No leafy,2
USR0338,64,Female,69.7,158.0,27.9,Sedentary,1204,1445,Non-Vegetarian,Hills,Celiac,Nuts,No leafy,1
USR0339,10,Male,67.4,165.3,24.7,Moderate,1662,2576,Non-Vegetarian,Hills,Obesity,Milk,Likes all,2
USR0340,28,Female,60.9,158.6,24.2,Heavy,1299,2241,Non-Vegetarian,Hills,Obesity,Fish,Prefers cooked,1
USR0341,12,Male,81.2,163.2,30.5,Sedentary,1777,2132,Non-Vegetarian,Mountain,Obesity,Gluten,Prefers cooked,3
USR0342,50,Female,40.3,145.0,19.2,Moderate,898,1392,Non-Vegetarian,Hills,None,Fish,No leafy,1
USR0343,38,Male,61.1,164.0,22.7,Moderate,1451,2249,Non-Vegetarian,Mountain,Underweight,None,No leafy,1
USR0344,49,Female,47.3,145.4,22.4,Moderate,976,1513,Vegan,Mountain,None,None,Prefers cooked,3
USR0345,68,Female,56.4,152.0,24.4,Heavy,1013,1747,Non-Vegetarian,Terai,Hypertension,Milk,Likes all,3
USR0346,75,Male,55.7,158.6,22.1,Moderate,1178,1826,Vegetarian,Hills,Obesity,Gluten,Likes all,2
USR0347,45,Female,61.8,159.6,24.3,Sedentary,1230,1476,Vegetarian,Hills,Anaemia,None,Likes all,1
USR0348,70,Female,41.9,150.1,18.6,Heavy,846,1459,Non-Vegetarian,Hills,None,None,No leafy,2
USR0349,51,Female,53.1,150.6,23.4,Moderate,1056,1637,Vegetarian,Hills,Hypertension,Milk,No bitter,1
USR0350,26,Male,43.4,165.7,15.8,Heavy,1345,2320,Vegetarian,Hills,Lactose Intolerance,None,Prefers cooked,1
USR0351,32,Female,38.9,157.3,15.7,Moderate,1051,1629,Vegetarian,Hills,None,None,No leafy,2
USR0352,68,Male,78.3,165.4,28.6,Heavy,1482,2556,Vegan,Hills,Underweight,None,Prefers cooked,1
USR0353,54,Male,54.5,155.9,22.4,Moderate,1254,1944,Vegan,Hills,Anaemia,None,No bitter,2
USR0354,42,Female,49.4,155.1,20.5,Heavy,1092,1884,Vegan,Mountain,Diabetes,Nuts,Prefers cooked,1
USR0355,42,Male,53.3,148.4,24.2,Moderate,1256,1947,Non-Vegetarian,Mountain,Underweight,Nuts,Likes all,2
USR0356,58,Female,45.3,140.8,22.9,Moderate,882,1367,Non-Vegetarian,Terai,Underweight,None,Likes all,2
USR0357,11,Male,58.8,160.3,22.9,Moderate,1540,2387,Non-Vegetarian,Hills,None,None,No bitter,1
USR0358,50,Male,63.8,161.6,24.4,Moderate,1403,2175,Vegan,Hills,None,Milk,Likes all,2
USR0359,58,Female,77.7,148.9,35.0,Moderate,1257,1948,Vegan,Terai,None,Milk,Prefers cooked,3
USR0360,33,Female,65.9,148.2,30.0,Moderate,1259,1951,Vegan,Mountain,Lactose Intolerance,None,Prefers cooked,2
USR0361,27,Female,57.5,153.7,24.3,Moderate,1240,1922,Vegan,Terai,Anaemia,None,No leafy,2
USR0362,21,Female,63.2,165.5,23.1,Sedentary,1400,1680,Non-Vegetarian,Hills,None,None,Prefers cooked,2
USR0363,43,Male,49.0,165.6,17.9,Moderate,1315,2038,Vegetarian,Hills,Underweight,None,Prefers cooked,3
USR0364,69,Male,68.7,173.4,22.8,Heavy,1431,2468,Vegetarian,Hills,None,None,No bitter,2
USR0365,42,Female,57.0,165.5,20.8,Heavy,1233,2127,Vegan,Terai,None,Nuts,No leafy,1
USR0366,10,Male,58.4,158.6,23.2,Sedentary,1530,1836,Non-Vegetarian,Hills,Underweight,Milk,Likes all,3
USR0367,70,Female,57.2,146.8,26.5,Sedentary,978,1174,Non-Vegetarian,Terai,Hypertension,None,Likes all,1
USR0368,13,Male,65.4,175.9,21.1,Moderate,1693,2624,Non-Vegetarian,Terai,None,Fish,Likes all,1
USR0369,63,Male,61.4,162.8,23.2,Sedentary,1322,1586,Vegetarian,Terai,Diabetes,None,Prefers cooked,2
USR0370,54,Female,45.3,156.2,18.6,Moderate,998,1547,Vegetarian,Hills,Celiac,None,Likes all,3
USR0371,10,Male,60.8,162.0,23.2,Sedentary,1576,1891,Non-Vegetarian,Hills,Lactose Intolerance,None,No bitter,2
USR0372,55,Female,55.0,152.4,23.7,Moderate,1066,1652,Vegan,Terai,None,Fish,No bitter,1
USR0373,52,Female,55.3,153.7,23.4,Moderate,1093,1694,Vegetarian,Terai,None,Fish,Likes all,2
USR0374,49,Male,67.2,181.9,20.3,Moderate,1569,2432,Non-Vegetarian,Terai,None,Milk,Prefers cooked,1
USR0375,11,Male,75.8,150.1,33.6,Heavy,1646,2839,Vegan,Terai,Diabetes,None,No bitter,1
USR0376,67,Male,71.0,162.7,26.8,Moderate,1397,2165,Vegetarian,Hills,Lactose Intolerance,None,Prefers cooked,2
USR0377,62,Female,47.8,163.1,18.0,Moderate,1026,1590,Vegan,Mountain,Hypertension,Nuts,No leafy,1
USR0378,45,Male,62.2,170.7,21.3,Heavy,1469,2534,Non-Vegetarian,Hills,None,Nuts,No leafy,2
USR0379,50,Female,55.6,146.0,26.1,Sedentary,1058,1270,Non-Vegetarian,Mountain,None,Milk,Prefers cooked,3
USR0380,38,Male,60.6,153.8,25.6,Sedentary,1382,1658,Vegetarian,Mountain,Celiac,None,No leafy,3
USR0381,9,Male,50.1,161.8,19.1,Heavy,1472,2539,Non-Vegetarian,Hills,Anaemia,None,No bitter,1
USR0382,69,Female,45.0,153.5,19.1,Sedentary,903,1084,Non-Vegetarian,Mountain,Celiac,None,Prefers cooked,2
USR0383,27,Male,50.2,160.8,19.4,Moderate,1377,2134,Non-Vegetarian,Hills,None,None,No leafy,1
USR0384,38,Male,60.0,166.7,21.6,Moderate,1457,2258,Vegan,Hills,Anaemia,Gluten,No leafy,1
USR0385,46,Male,83.0,177.7,26.3,Moderate,1716,2660,Non-Vegetarian,Mountain,Underweight,None,No leafy,2
USR0386,14,Female,45.3,153.3,19.3,Moderate,1180,1829,Vegan,Hills,Hypertension,Nuts,No leafy,2
USR0387,69,Male,69.9,159.2,27.6,Moderate,1354,2099,Vegetarian,Mountain,Celiac,Milk,Prefers cooked,1
USR0388,25,Male,51.7,174.7,16.9,Sedentary,1489,1787,Non-Vegetarian,Hills,Hypertension,None,No leafy,2
USR0389,31,Female,43.1,148.5,19.5,Heavy,1043,1799,Vegetarian,Terai,None,None,Prefers cooked,1
USR0390,23,Male,69.3,167.1,24.8,Moderate,1627,2522,Vegan,Hills,Lactose Intolerance,None,No bitter,1
USR0391,62,Male,53.1,159.4,20.9,Heavy,1222,2108,Non-Vegetarian,Terai,Anaemia,None,Prefers cooked,3
USR0392,26,Female,52.7,147.7,24.2,Heavy,1159,1999,Vegan,Mountain,None,None,No leafy,2
USR0393,18,Male,74.1,166.0,26.9,Heavy,1694,2922,Non-Vegetarian,Mountain,None,None,No leafy,3
USR0394,73,Male,57.0,164.9,21.0,Heavy,1241,2141,Non-Vegetarian,Mountain,Underweight,None,No leafy,3
USR0395,52,Female,63.8,146.3,29.8,Heavy,1131,1951,Non-Vegetarian,Hills,Anaemia,Nuts,Likes all,2
USR0396,37,Male,54.8,165.8,19.9,Sedentary,1404,1685,Non-Vegetarian,Mountain,Underweight,Fish,No bitter,1
USR0397,5,Male,57.6,163.1,21.7,Sedentary,1575,1890,Non-Vegetarian,Terai,Hypertension,Fish,No bitter,1
USR0398,59,Male,57.6,160.0,22.5,Heavy,1286,2218,Vegan,Hills,Lactose Intolerance,Milk,No leafy,1
USR0399,75,Female,56.2,146.1,26.3,Moderate,939,1455,Vegan,Mountain,Obesity,Milk,No bitter,3
USR0400,55,Female,52.4,140.3,26.6,Sedentary,965,1158,Non-Vegetarian,Hills,None,None,Prefers cooked,3
USR0401,48,Female,57.9,144.8,27.6,Sedentary,1083,1300,Non-Vegetarian,Hills,Celiac,None,Likes all,1
USR0402,60,Female,60.0,156.9,24.4,Moderate,1120,1736,Vegetarian,Mountain,None,Fish,No leafy,3
USR0403,12,Female,69.7,149.7,31.1,Heavy,1412,2436,Non-Vegetarian,Terai,None,Milk,Prefers cooked,1
USR0404,26,Male,57.7,158.3,23.0,Sedentary,1441,1729,Non-Vegetarian,Terai,Diabetes,Fish,No bitter,2
USR0405,30,Female,39.4,152.7,16.9,Sedentary,1037,1244,Vegetarian,Mountain,Diabetes,Nuts,No bitter,2
USR0406,29,Male,52.2,167.3,18.6,Sedentary,1428,1714,Non-Vegetarian,Terai,Anaemia,None,Likes all,3
USR0407,48,Female,69.3,149.9,30.8,Moderate,1229,1905,Vegan,Mountain,Diabetes,Gluten,No leafy,3
USR0408,36,Female,55.1,136.2,29.7,Heavy,1061,1830,Non-Vegetarian,Mountain,None,Gluten,Likes all,2
USR0409,53,Male,40.6,145.9,19.1,Moderate,1058,1640,Non-Vegetarian,Hills,Hypertension,None,No bitter,1
USR0410,16,Female,42.0,160.9,16.2,Moderate,1185,1837,Vegetarian,Mountain,None,Gluten,No bitter,2
USR0411,39,Male,68.8,177.1,21.9,Moderate,1605,2488,Non-Vegetarian,Terai,None,None,No bitter,1
USR0412,30,Male,71.7,151.9,31.1,Moderate,1521,2358,Non-Vegetarian,Terai,None,None,No leafy,3
USR0413,74,Male,80.7,160.9,31.2,Moderate,1448,2244,Vegan,Hills,Obesity,Milk,No leafy,1
USR0414,55,Female,56.1,163.0,21.1,Sedentary,1144,1373,Vegan,Hills,Obesity,None,No bitter,2
USR0415,63,Male,77.3,163.2,29.0,Heavy,1483,2558,Non-Vegetarian,Terai,None,None,No leafy,3
USR0416,46,Male,49.2,177.2,15.7,Moderate,1374,2130,Vegan,Hills,None,Milk,No leafy,3
USR0417,51,Female,57.8,160.7,22.4,Heavy,1166,2011,Non-Vegetarian,Hills,Anaemia,Milk,No leafy,1
USR0418,34,Male,68.3,153.2,29.1,Moderate,1476,2288,Vegan,Hills,Anaemia,None,Prefers cooked,1
USR0419,6,Female,58.7,161.4,22.5,Moderate,1405,2178,Non-Vegetarian,Hills,Diabetes,None,No leafy,1
USR0420,12,Male,63.6,171.0,21.8,Sedentary,1650,1980,Non-Vegetarian,Hills,Diabetes,Nuts,No bitter,3
USR0421,49,Female,58.5,154.4,24.5,Moderate,1144,1773,Vegan,Mountain,Celiac,None,No bitter,2
USR0422,70,Female,39.3,154.9,16.4,Sedentary,850,1020,Non-Vegetarian,Mountain,Diabetes,Gluten,Prefers cooked,1
USR0423,58,Female,46.0,147.3,21.2,Sedentary,930,1116,Vegetarian,Terai,Hypertension,None,No bitter,2
USR0424,39,Female,46.9,149.7,20.9,Heavy,1049,1810,Non-Vegetarian,Mountain,Underweight,Gluten,No leafy,1
USR0425,7,Male,67.2,169.1,23.5,Moderate,1699,2633,Vegetarian,Terai,None,Fish,Likes all,1
USR0426,65,Male,59.8,164.4,22.1,Heavy,1306,2253,Vegan,Terai,None,Milk,Prefers cooked,1
USR0427,44,Female,55.9,165.4,20.4,Heavy,1212,2091,Non-Vegetarian,Terai,Underweight,None,Likes all,1
USR0428,46,Female,60.6,148.1,27.6,Moderate,1141,1769,Vegan,Hills,None,None,No leafy,3
USR0429,72,Female,46.9,147.3,21.6,Moderate,869,1347,Non-Vegetarian,Mountain,None,None,No leafy,2
USR0430,57,Female,53.5,159.9,20.9,Sedentary,1088,1306,Vegan,Terai,Hypertension,Milk,No leafy,3
USR0431,67,Male,72.8,162.0,27.7,Sedentary,1410,1692,Non-Vegetarian,Hills,Lactose Intolerance,None,Likes all,3
USR0432,29,Female,44.2,158.7,17.5,Heavy,1128,1946,Non-Vegetarian,Terai,Celiac,Fish,No leafy,1
USR0433,15,Female,48.1,156.4,19.7,Moderate,1222,1894,Non-Vegetarian,Mountain,Diabetes,Fish,Prefers cooked,1
USR0434,22,Male,58.5,176.0,18.9,Heavy,1580,2726,Non-Vegetarian,Mountain,Obesity,None,No bitter,1
USR0435,11,Male,64.1,164.7,23.6,Sedentary,1620,1944,Non-Vegetarian,Hills,None,Gluten,Likes all,1
USR0436,24,Male,69.0,165.5,25.2,Heavy,1609,2776,Non-Vegetarian,Hills,Hypertension,Gluten,Likes all,2
USR0437,23,Male,78.2,169.8,27.1,Sedentary,1733,2080,Vegan,Hills,None,None,No bitter,2
USR0438,20,Male,77.6,163.0,29.2,Heavy,1700,2932,Non-Vegetarian,Terai,None,None,No leafy,1
USR0439,65,Male,42.4,178.1,13.4,Moderate,1217,1886,Non-Vegetarian,Terai,Underweight,None,No bitter,2
USR0440,30,Female,52.1,155.8,21.5,Moderate,1184,1835,Vegetarian,Terai,Celiac,Fish,No bitter,1
USR0441,40,Male,53.3,160.9,20.6,Moderate,1344,2083,Vegetarian,Terai,Lactose Intolerance,Gluten,Prefers cooked,2
USR0442,36,Male,64.4,167.9,22.8,Moderate,1518,2353,Vegetarian,Terai,Hypertension,None,Likes all,1
USR0443,34,Female,49.3,162.2,18.7,Moderate,1176,1823,Non-Vegetarian,Terai,None,Fish,No bitter,1
USR0444,10,Female,44.4,154.7,18.6,Moderate,1200,1860,Vegan,Hills,None,None,No bitter,2
USR0445,40,Female,62.2,147.0,28.8,Moderate,1180,1829,Vegetarian,Mountain,None,Gluten,No bitter,2
USR0446,63,Female,66.8,154.0,28.2,Heavy,1154,1991,Non-Vegetarian,Terai,Lactose Intolerance,Nuts,Prefers cooked,2
USR0447,73,Male,64.7,160.3,25.2,Heavy,1289,2224,Vegan,Terai,Lactose Intolerance,Milk,No bitter,2
USR0448,19,Female,64.9,159.8,25.4,Sedentary,1392,1670,Non-Vegetarian,Terai,None,None,Likes all,2
USR0449,17,Male,76.0,167.3,27.2,Heavy,1726,2977,Non-Vegetarian,Mountain,Lactose Intolerance,Milk,Likes all,2
USR0450,14,Male,84.5,166.5,30.5,Heavy,1821,3141,Vegetarian,Hills,Celiac,None,No bitter,3
USR0451,52,Female,54.9,151.7,23.9,Moderate,1076,1668,Vegan,Terai,None,Milk,Likes all,1
